1.072	-0.287	0.077	-0.021	0.006	-0.001	0.000	-0.000	0.000	-0.000
-0.287	1.149	-0.308	0.082	-0.022	0.006	-0.002	0.000	-0.000	0.000
0.077	-0.308	1.154	-0.309	0.083	-0.022	0.006	-0.002	0.000	-0.000
-0.021	0.082	-0.309	1.155	-0.309	0.083	-0.022	0.006	-0.002	0.000
0.006	-0.022	0.083	-0.309	1.155	-0.309	0.083	-0.022	0.006	-0.001
-0.001	0.006	-0.022	0.083	-0.309	1.155	-0.309	0.083	-0.022	0.006
0.000	-0.002	0.006	-0.022	0.083	-0.309	1.155	-0.309	0.082	-0.021
-0.000	0.000	-0.002	0.006	-0.022	0.083	-0.309	1.154	-0.308	0.077
0.000	-0.000	0.000	-0.002	0.006	-0.022	0.082	-0.308	1.149	-0.287
-0.000	0.000	-0.000	0.000	-0.001	0.006	-0.021	0.077	-0.287	1.072
