1.000	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.062	1.000	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.062	1.000	0.062	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.062	1.000	0.062	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.062	1.000	0.062	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.062	1.000	0.062	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.062	1.000	0.062	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.062	1.000	0.062	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.062	1.000	0.062
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.062	1.000
